iter	Passed	Remaining
0	153	92224
1	164	49239
2	174	34766
3	185	27568
4	194	23149
5	203	20191
6	213	18121
7	223	16547
8	233	15344
9	244	14416
10	253	13592
11	265	12996
12	274	12417
13	285	11930
14	295	11525
15	305	11158
16	316	10849
17	326	10568
18	336	10288
19	346	10052
20	358	9896
21	369	9715
22	381	9581
23	395	9484
24	405	9336
25	419	9260
26	431	9158
27	442	9040
28	452	8902
29	461	8777
30	471	8663
31	482	8564
32	492	8465
33	503	8386
34	514	8307
35	524	8218
36	534	8133
37	544	8060
38	555	7992
39	564	7909
40	574	7834
41	583	7758
42	608	7878
43	626	7917
44	636	7854
45	648	7808
46	659	7759
47	668	7691
48	679	7636
49	689	7579
50	698	7521
51	708	7468
52	718	7414
53	728	7366
54	739	7330
55	749	7285
56	763	7273
57	773	7231
58	783	7186
59	794	7148
60	804	7106
61	814	7063
62	825	7033
63	836	7004
64	847	6973
65	857	6937
66	867	6898
67	878	6875
68	889	6847
69	899	6811
70	910	6783
71	921	6756
72	931	6721
73	941	6693
74	951	6661
75	961	6627
76	971	6597
77	981	6565
78	991	6539
79	1002	6516
80	1012	6489
81	1023	6466
82	1034	6445
83	1044	6417
84	1054	6390
85	1064	6360
86	1074	6333
87	1083	6304
88	1094	6285
89	1106	6269
90	1117	6248
91	1126	6221
92	1136	6196
93	1146	6169
94	1156	6148
95	1166	6124
96	1176	6102
97	1187	6081
98	1196	6055
99	1206	6034
100	1217	6015
101	1227	5991
102	1237	5970
103	1247	5950
104	1266	5972
105	1279	5962
106	1292	5953
107	1304	5943
108	1315	5926
109	1325	5905
110	1335	5885
111	1345	5862
112	1356	5847
113	1369	5836
114	1380	5820
115	1391	5804
116	1400	5783
117	1410	5760
118	1420	5741
119	1429	5719
120	1439	5697
121	1450	5681
122	1460	5662
123	1471	5649
124	1482	5634
125	1492	5612
126	1502	5596
127	1513	5579
128	1522	5559
129	1533	5545
130	1544	5529
131	1554	5512
132	1564	5494
133	1575	5477
134	1585	5460
135	1595	5444
136	1606	5427
137	1618	5419
138	1631	5412
139	1643	5399
140	1655	5388
141	1668	5381
142	1680	5372
143	1691	5357
144	1702	5343
145	1717	5339
146	1728	5327
147	1740	5314
148	1752	5304
149	1764	5294
150	1777	5285
151	1791	5281
152	1802	5266
153	1813	5252
154	1824	5239
155	1835	5224
156	1846	5210
157	1857	5195
158	1868	5181
159	1879	5167
160	1889	5153
161	1901	5140
162	1913	5131
163	1926	5121
164	1938	5110
165	1950	5098
166	1961	5086
167	1973	5074
168	1984	5061
169	1996	5050
170	2008	5039
171	2020	5027
172	2032	5015
173	2044	5006
174	2057	4995
175	2068	4984
176	2080	4972
177	2092	4960
178	2103	4947
179	2115	4935
180	2127	4923
181	2138	4910
182	2149	4898
183	2161	4885
184	2172	4873
185	2183	4861
186	2195	4848
187	2207	4838
188	2219	4827
189	2231	4816
190	2243	4804
191	2256	4794
192	2268	4783
193	2279	4770
194	2291	4759
195	2302	4746
196	2313	4732
197	2325	4720
198	2338	4711
199	2350	4700
200	2361	4688
201	2373	4675
202	2384	4664
203	2395	4650
204	2407	4638
205	2418	4626
206	2430	4613
207	2442	4602
208	2454	4591
209	2465	4578
210	2478	4568
211	2491	4559
212	2503	4548
213	2514	4535
214	2526	4524
215	2538	4513
216	2550	4502
